id,name,email,phone,billing_address
6cabd84b-ce9d-4f62-9e93-13db570f7d00,Lumen Solutions,accounts@lumensolutions.com,9813356886,"760, Trichy Road, Bengaluru, Tamil Nadu, India"
fccf94c3-c4f2-4d8f-bbc7-df71d3081ec2,Northgate Traders,accounts@northgatetraders.com,9823756669,"693, Peelamedu Main Rd, Pune, Tamil Nadu, India"
1ad51eeb-9a25-49fe-bcef-d1e5859901bd,Solstice Consulting,accounts@solsticeconsulti.com,9866629388,"33, MG Road, Chennai, Tamil Nadu, India"
85ed9647-982b-4f40-abbc-10287619d7d7,Brightpeak Technologies,accounts@brightpeaktechno.com,9877827638,"617, MG Road, Pune, Tamil Nadu, India"
f086acbb-baa1-48b8-8054-201d96805b5b,Brightpeak Realty,accounts@brightpeakrealty.com,9866306997,"226, Race Course Road, Mumbai, Tamil Nadu, India"
421728df-3d46-4137-954d-66773e82aa70,Silverline Global Corp,accounts@silverlineglobal.com,9831429110,"715, Race Course Road, Madurai, Tamil Nadu, India"
bd81a36a-e02f-4eb7-b85e-0d1d159f4cb6,Silverline Traders,accounts@silverlinetrader.com,9838898923,"981, Trichy Road, Chennai, Tamil Nadu, India"
59fa641a-e607-46bf-893c-5d10564c078a,Solstice Networks,accounts@solsticenetworks.com,9822981052,"368, Trichy Road, Mumbai, Tamil Nadu, India"
a8828cf5-45fa-4c4d-a2cc-bba56b2f4c4f,Silverline Industries,accounts@silverlineindust.com,9871662963,"550, MG Road, Salem, Tamil Nadu, India"
5301d2c8-28ff-42ac-a17d-c1e27c7479b3,Solstice Realty,accounts@solsticerealty.com,9849349722,"850, Peelamedu Main Rd, Mumbai, Tamil Nadu, India"
c1bc5977-e77b-4ce6-ae8e-1228b9370cce,Beacon Systems,accounts@beaconsystems.com,9887490893,"197, Peelamedu Main Rd, Chennai, Tamil Nadu, India"
2ee024c7-424f-4dbb-9af4-a6295f8e2c4f,Nimbus Technologies,accounts@nimbustechnologi.com,9848840994,"82, Anna Salai, Chennai, Tamil Nadu, India"
94b8a14b-842c-423f-b556-682b2021efe0,Skyward Manufacturing,accounts@skywardmanufactu.com,9870855700,"651, Trichy Road, Erode, Tamil Nadu, India"
ed65cc3f-a7c9-41df-9416-93ecf25d976e,Greenfield Systems,accounts@greenfieldsystem.com,9838119557,"687, Trichy Road, Chennai, Tamil Nadu, India"
21b1475c-bc2b-4c22-b2b1-e6534a59cd86,Crownstone Logistics,accounts@crownstonelogist.com,9881691040,"747, Anna Salai, Erode, Tamil Nadu, India"
756afd9d-b02b-4dde-a3ff-94f108c1e742,Palisade Networks,accounts@palisadenetworks.com,9846231783,"948, Peelamedu Main Rd, Pune, Tamil Nadu, India"
b52a52db-7c59-430c-bbd3-16000f8070b6,Northgate Holdings,accounts@northgateholding.com,9817507864,"235, MG Road, Madurai, Tamil Nadu, India"
fd037696-6eb2-40f4-b0cd-81282d5e53fc,Solstice Retail Group,accounts@solsticeretailgr.com,9886125617,"898, Peelamedu Main Rd, Madurai, Tamil Nadu, India"
6cdc1ba9-baea-420d-b037-f945ff527396,Brightpeak Pharma,accounts@brightpeakpharma.com,9863100814,"906, Peelamedu Main Rd, Tiruppur, Tamil Nadu, India"
d790b847-4e26-492e-8dee-c06fcb83d19a,Ironclad Manufacturing,accounts@ironcladmanufact.com,9828740864,"253, Peelamedu Main Rd, Pune, Tamil Nadu, India"
91ee6aa8-496a-42c1-b5e8-c9e34c393e67,Frontier Manufacturing,accounts@frontiermanufact.com,9888461803,"439, Avinashi Road, Salem, Tamil Nadu, India"
3c475f0b-3792-4f94-920c-9c31afadce82,Greenfield Technologies,accounts@greenfieldtechno.com,9828566572,"522, Race Course Road, Chennai, Tamil Nadu, India"
43b43dad-0d91-4943-a662-c7cccbed43fb,Pinegate Industries,accounts@pinegateindustri.com,9824716857,"157, Peelamedu Main Rd, Erode, Tamil Nadu, India"
d5e0c37a-5e00-4ff7-9095-3bc8d0c67261,Amberline Textiles,accounts@amberlinetextile.com,9890048665,"66, Race Course Road, Salem, Tamil Nadu, India"
464a62e0-ccf2-432b-9806-e76bfdccf9b9,Crownstone Foods Pvt Ltd,accounts@crownstonefoodsp.com,9881016525,"258, Avinashi Road, Coimbatore, Tamil Nadu, India"
